randNumCol,HW0-old,HW0-old - Max Points,HW0-old - Submission Time,HW0-old - Lateness (H:M:S),HW1,HW1 - Max Points,HW1 - Submission Time,HW1 - Lateness (H:M:S),HW2,HW2 - Max Points,HW2 - Submission Time,HW2 - Lateness (H:M:S),HW3,HW3 - Max Points,HW3 - Submission Time,HW3 - Lateness (H:M:S),HW4,HW4 - Max Points,HW4 - Submission Time,HW4 - Lateness (H:M:S),HW5,HW5 - Max Points,HW5 - Submission Time,HW5 - Lateness (H:M:S),HW6,HW6 - Max Points,HW6 - Submission Time,HW6 - Lateness (H:M:S),HW7,HW7 - Max Points,HW7 - Submission Time,HW7 - Lateness (H:M:S),HW8,HW8 - Max Points,HW8 - Submission Time,HW8 - Lateness (H:M:S),HW9,HW9 - Max Points,HW9 - Submission Time,HW9 - Lateness (H:M:S),HW10,HW10 - Max Points,HW10 - Submission Time,HW10 - Lateness (H:M:S),Midterm1,Midterm1 - Max Points,Midterm1 - Submission Time,Midterm1 - Lateness (H:M:S),Midterm1 conflict,Midterm1 conflict - Max Points,Midterm1 conflict - Submission Time,Midterm1 conflict - Lateness (H:M:S),Midterm1_Practice,Midterm1_Practice - Max Points,Midterm1_Practice - Submission Time,Midterm1_Practice - Lateness (H:M:S),Project_FA22,Project_FA22 - Max Points,Project_FA22 - Submission Time,Project_FA22 - Lateness (H:M:S),Project_FA22_code,Project_FA22_code - Max Points,Project_FA22_code - Submission Time,Project_FA22_code - Lateness (H:M:S),Project_Fa22_ExtraCredits,Project_Fa22_ExtraCredits - Max Points,Project_Fa22_ExtraCredits - Submission Time,Project_Fa22_ExtraCredits - Lateness (H:M:S),HW0,HW0 - Max Points,HW0 - Submission Time,HW0 - Lateness (H:M:S),Total Lateness (H:M:S)
801925577,,0.0,,00:00:00,48.0,55.0,2022-09-06 08:43:22 -0700,106:44:22,48.0,52.0,2022-09-08 21:37:15 -0700,00:00:00,41.0,53.0,2022-09-15 20:55:26 -0700,00:00:00,42.5,52.0,2022-09-24 21:14:34 -0700,00:00:00,48.0,52.0,2022-10-01 20:30:14 -0700,00:00:00,44.0,52.0,2022-10-13 21:57:45 -0700,00:00:00,42.0,52.0,2022-10-20 21:58:38 -0700,00:00:00,50.0,53.0,2022-10-27 21:58:52 -0700,00:00:00,51.0,53.0,2022-11-03 21:59:15 -0700,00:00:15,55.0,55.0,2022-11-17 15:14:56 -0800,00:00:00,134.0,150.0,2022-10-06 10:23:56 -0700,00:00:00,,150.0,,00:00:00,,150.0,,00:00:00,73.0,78.0,2022-12-02 21:58:04 -0800,00:00:00,2.0,2.0,2022-12-02 22:00:22 -0800,00:01:22,4.0,15.0,2022-12-10 20:58:06 -0800,190:59:06,,0.0,,00:00:00,297:45:05
262507520,,0.0,2022-08-23 09:49:04 -0700,00:00:00,40.0,55.0,2022-09-01 21:58:56 -0700,00:00:00,44.0,52.0,2022-09-08 21:58:49 -0700,00:00:00,47.0,53.0,2022-09-15 20:47:50 -0700,00:00:00,52.0,52.0,2022-09-24 21:47:53 -0700,00:00:00,47.0,52.0,2022-10-01 10:38:59 -0700,00:00:00,50.0,52.0,2022-10-13 21:52:35 -0700,00:00:00,48.0,52.0,2022-10-20 20:41:45 -0700,00:00:00,,53.0,,00:00:00,,53.0,,00:00:00,,55.0,,00:00:00,114.0,150.0,2022-10-06 10:24:21 -0700,00:00:00,,150.0,,00:00:00,,150.0,,00:00:00,75.5,78.0,2022-12-02 19:53:09 -0800,00:00:00,2.0,2.0,2022-12-02 17:54:16 -0800,00:00:00,,15.0,,00:00:00,,0.0,2022-08-24 14:46:39 -0700,00:00:00,00:00:00
853470508,,0.0,,00:00:00,43.0,55.0,2022-09-01 20:34:25 -0700,00:00:00,49.0,52.0,2022-09-08 21:43:46 -0700,00:00:00,45.0,53.0,2022-09-15 21:26:18 -0700,00:00:00,50.0,52.0,2022-09-24 19:54:36 -0700,00:00:00,50.0,52.0,2022-10-01 07:28:00 -0700,00:00:00,50.0,52.0,2022-10-13 16:03:14 -0700,00:00:00,49.0,52.0,2022-10-20 20:31:24 -0700,00:00:00,49.0,53.0,2022-10-27 20:55:24 -0700,00:00:00,48.0,53.0,2022-11-04 09:13:30 -0700,11:14:30,50.0,55.0,2022-11-17 16:57:20 -0800,00:00:00,143.0,150.0,2022-10-06 10:22:10 -0700,00:00:00,,150.0,,00:00:00,,150.0,2022-10-05 21:48:49 -0700,00:00:00,78.0,78.0,2022-12-02 19:58:26 -0800,00:00:00,2.0,2.0,2022-12-02 19:55:02 -0800,00:00:00,15.0,15.0,2022-12-02 19:31:27 -0800,00:00:00,,0.0,2022-08-24 14:49:28 -0700,00:00:00,11:14:30
468287725,,0.0,,00:00:00,45.0,55.0,2022-09-01 21:46:46 -0700,00:00:00,51.0,52.0,2022-09-08 21:55:52 -0700,00:00:00,38.5,53.0,2022-09-15 21:58:58 -0700,00:00:00,44.5,52.0,2022-09-24 22:00:11 -0700,00:01:11,51.0,52.0,2022-10-01 21:20:12 -0700,00:00:00,29.0,52.0,2022-10-13 21:58:27 -0700,00:00:00,46.0,52.0,2022-10-20 21:53:51 -0700,00:00:00,51.0,53.0,2022-10-27 21:57:47 -0700,00:00:00,48.0,53.0,2022-11-03 21:54:27 -0700,00:00:00,47.0,55.0,2022-11-17 21:56:53 -0800,00:00:00,136.0,150.0,2022-10-06 11:36:48 -0700,01:11:48,,150.0,,00:00:00,,150.0,2022-10-04 18:13:20 -0700,00:00:00,78.0,78.0,2022-12-02 15:16:01 -0800,00:00:00,2.0,2.0,2022-12-02 15:27:07 -0800,00:00:00,4.0,15.0,2022-12-02 21:56:30 -0800,00:00:00,,0.0,2022-08-30 20:43:07 -0700,00:00:00,01:12:59
966245481,,0.0,,00:00:00,52.5,55.0,2022-09-01 19:21:49 -0700,00:00:00,46.5,52.0,2022-09-08 14:23:28 -0700,00:00:00,53.0,53.0,2022-09-15 18:48:44 -0700,00:00:00,52.0,52.0,2022-09-24 07:14:57 -0700,00:00:00,52.0,52.0,2022-10-01 07:24:27 -0700,00:00:00,52.0,52.0,2022-10-13 06:19:33 -0700,00:00:00,51.0,52.0,2022-10-19 07:26:43 -0700,00:00:00,53.0,53.0,2022-10-25 13:43:44 -0700,00:00:00,51.0,53.0,2022-11-03 15:32:12 -0700,00:00:00,,55.0,,00:00:00,134.0,150.0,2022-10-06 10:23:27 -0700,00:00:00,,150.0,,00:00:00,,150.0,,00:00:00,77.0,78.0,2022-12-01 13:36:36 -0800,00:00:00,2.0,2.0,2022-12-01 13:35:20 -0800,00:00:00,,15.0,,00:00:00,,0.0,,00:00:00,00:00:00
688844688,,0.0,,00:00:00,23.5,55.0,2022-09-01 19:15:54 -0700,00:00:00,49.5,52.0,2022-09-08 16:44:07 -0700,00:00:00,48.0,53.0,2022-09-15 12:52:21 -0700,00:00:00,52.0,52.0,2022-09-23 16:08:39 -0700,00:00:00,49.0,52.0,2022-10-01 16:06:29 -0700,00:00:00,48.0,52.0,2022-10-13 17:58:57 -0700,00:00:00,47.0,52.0,2022-10-20 15:30:40 -0700,00:00:00,49.0,53.0,2022-10-27 13:47:32 -0700,00:00:00,,53.0,,00:00:00,,55.0,,00:00:00,142.0,150.0,2022-10-06 10:24:45 -0700,00:00:00,,150.0,,00:00:00,,150.0,,00:00:00,78.0,78.0,2022-12-01 13:38:22 -0800,00:00:00,2.0,2.0,2022-12-01 13:24:57 -0800,00:00:00,,15.0,,00:00:00,,0.0,,00:00:00,00:00:00
602558521,,0.0,,00:00:00,42.0,55.0,2022-09-01 17:42:26 -0700,00:00:00,51.0,52.0,2022-09-08 19:49:11 -0700,00:00:00,44.5,53.0,2022-09-15 21:14:04 -0700,00:00:00,52.0,52.0,2022-09-24 20:29:46 -0700,00:00:00,45.0,52.0,2022-10-01 19:42:56 -0700,00:00:00,50.0,52.0,2022-10-13 19:17:44 -0700,00:00:00,48.0,52.0,2022-10-20 21:16:39 -0700,00:00:00,46.0,53.0,2022-10-27 20:56:47 -0700,00:00:00,51.0,53.0,2022-11-03 19:54:35 -0700,00:00:00,52.0,55.0,2022-11-17 14:39:42 -0800,00:00:00,133.5,150.0,2022-10-06 12:41:16 -0700,02:16:16,,150.0,,00:00:00,,150.0,,00:00:00,73.0,78.0,2022-12-02 18:17:13 -0800,00:00:00,2.0,2.0,2022-12-02 18:15:09 -0800,00:00:00,,15.0,,00:00:00,,0.0,,00:00:00,02:16:16
728776101,,0.0,2022-08-24 09:19:24 -0700,00:00:00,54.0,55.0,2022-09-01 12:17:39 -0700,00:00:00,51.0,52.0,2022-09-08 19:00:30 -0700,00:00:00,53.0,53.0,2022-09-15 19:23:32 -0700,00:00:00,50.0,52.0,2022-09-24 20:55:28 -0700,00:00:00,42.0,52.0,2022-10-01 20:20:00 -0700,00:00:00,48.0,52.0,2022-10-13 20:59:47 -0700,00:00:00,,52.0,,00:00:00,50.0,53.0,2022-10-27 21:46:06 -0700,00:00:00,46.0,53.0,2022-11-03 21:22:52 -0700,00:00:00,50.0,55.0,2022-11-17 18:48:40 -0800,00:00:00,144.0,150.0,2022-10-06 11:32:00 -0700,01:07:00,,150.0,,00:00:00,,150.0,2022-10-05 18:43:00 -0700,00:00:00,77.0,78.0,2022-12-02 08:48:07 -0800,00:00:00,2.0,2.0,2022-12-02 08:52:29 -0800,00:00:00,,15.0,,00:00:00,,0.0,,00:00:00,01:07:00
513252691,,0.0,,00:00:00,46.0,55.0,2022-08-31 08:29:35 -0700,00:00:00,49.0,52.0,2022-09-07 21:14:19 -0700,00:00:00,51.5,53.0,2022-09-15 16:10:44 -0700,00:00:00,52.0,52.0,2022-09-24 18:18:42 -0700,00:00:00,52.0,52.0,2022-10-01 10:05:23 -0700,00:00:00,50.0,52.0,2022-10-13 19:29:24 -0700,00:00:00,50.0,52.0,2022-10-20 18:54:45 -0700,00:00:00,46.0,53.0,2022-10-27 20:21:50 -0700,00:00:00,50.0,53.0,2022-11-03 21:41:49 -0700,00:00:00,50.0,55.0,2022-11-17 17:18:36 -0800,00:00:00,137.5,150.0,2022-10-06 10:19:39 -0700,00:00:00,,150.0,,00:00:00,,150.0,2022-10-05 13:29:53 -0700,00:00:00,76.5,78.0,2022-12-01 14:57:37 -0800,00:00:00,2.0,2.0,2022-12-01 13:07:07 -0800,00:00:00,,15.0,,00:00:00,,0.0,2022-08-29 13:41:59 -0700,00:00:00,00:00:00
798694774,,0.0,,00:00:00,47.0,55.0,2022-09-01 19:44:37 -0700,00:00:00,51.0,52.0,2022-09-08 11:16:49 -0700,00:00:00,47.5,53.0,2022-09-15 10:27:00 -0700,00:00:00,50.0,52.0,2022-09-24 20:59:56 -0700,00:00:00,47.0,52.0,2022-10-01 21:42:27 -0700,00:00:00,49.0,52.0,2022-10-10 10:31:42 -0700,00:00:00,50.0,52.0,2022-10-20 07:13:47 -0700,00:00:00,50.0,53.0,2022-10-26 23:27:13 -0700,00:00:00,,53.0,,00:00:00,,55.0,,00:00:00,138.5,150.0,2022-10-06 10:11:51 -0700,00:00:00,,150.0,,00:00:00,,150.0,,00:00:00,78.0,78.0,2022-11-30 14:27:07 -0800,00:00:00,2.0,2.0,2022-11-30 14:37:31 -0800,00:00:00,,15.0,,00:00:00,,0.0,,00:00:00,00:00:00
